CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701,Glove_TouchNTuff_92-600,Glove_MICROFLEX_93-260
64742-82-1,PETROLEUM BENZINE 140-180C EMPLURA,>480,>480,10-30,60-120,30-60,120-240,<10,10-30,<10,30-60
100-41-4,PHENYLETHANE,<10,<10,10-30,>480,>480,<10,23,<10,<10,<10
67-63-0,pertohol,>480,>480,>480,>480,>480,>480,>480,234,175,380
100-42-5,Phenyl ethylene,24,>480,10-30,8,<10,>480,19,<10,<10,<10
57-55-6,PGE,>480,>480,>480,>480,>480,>480,>480,240-480,>480,>480
7722-84-1,Perossido di idrogeno (30%),>480,>480,>480,>480,>480,>480,>480,>480,72,446
7722-64-7,Permanganate of potash,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7722-84-1,Perossido di idrogeno (10%),>480,>480,>480,>480,>480,>480,>480,>480,60-120,>480
76-05-1,Perfluoroacetic Acid,>480,>480,>480,>480,>480,<10,10-30,<10,10-30,>480
111-65-9,Ottano,>480,>480,10-30,>480,136,>480,>480,10-30,>480,>480
109-99-9,OSSOLANO,6,136,<10,<10,>480,<10,<10,<10,<10,<10
123-91-1,p-diossano,10-30,70,>480,>480,>480,>480,>480,<10,<10,3
127-18-4,Perchloroethylene,>480,>480,60-120,133,10-30,10-30,10-30,<10,<10,60-120
92062-35-6,Paraffina,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
108-65-6,PA 401 D,>480,132,>480,30-60,>480,30-60,60-120,<10,<10,10-30
106-43-4,p-chlorotoluene,>480,10-30,<10,<10,>480,<10,10-30,<10,<10,<10
75-21-8,Ossido di etilene,120-240,<10,<10,<10,>480,<10,<10,<10,<10,<10
7664-93-9,Olio di vitriolo (99%),>480,30-60,120-240,<10,120-240,30-60,10-30,60-120,<10,30-60
7719-09-7,OSSICLORURO DI FOSFORO,10-30,<10,60-120,<10,<6,<10,<10,<10,<10,<10
60-29-7,OSSIDO DI DIETILE,>480,30-60,<10,10-30,>480,10-30,30-60,<10,<10,10-30
1333-82-0,Ossido di cromo (IV),>480,>480,60-120,120-240,>480,120-240,>480,30-60,10-30,120-240
7664-38-2,Orthophosphoric Acid,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
62-53-3,olio di anilina,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
8012-95-1,Olio minerale,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
106-89-8,OSSIDO DI CLOROPROILENE,>480,<10,>480,<10,60-120,<10,<10,<10,<10,<10
108-24-7,OSSIDO DI ACETILE,>480,<10,>480,<10,>480,<10,<10,10-30,<10,<10
7664-93-9,Olio di vitriolo (50%),>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
8014-95-7,Oleum (20%),240-480,10-30,60-120,<10,120-240,10-30,<10,30-60,<10,10-30
111-87-5,octanol,>480,>480,>480,240-480,>480,240-480,>480,240-480,>480,>480
95-53-4,o-Methylaniline,240-480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,<10
872-50-4,NMP,240-480,10-30,>480,<10,366,<2,10-30,<10,<10,7
107-13-1,Nitrili di propilene,>480,<10,240-480,<10,60-120,<10,6,<10,<10,3
98-95-3,nitrobenzolo,>480,105,>480,30-60,>480,30-60,60-120,<10,<10,30-60
54-11-5,Nicotina,240-480,60-120,>480,30-60,240-480,30-60,60-120,<10,10-30,30-60
8030-30-6,Naphtha VM&P,>480,84,<10,>480,>480,>480,>480,10-30,240-480,>480
64742-48-9,Naphtha hydrotreated heavy,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
1310-73-2,NaOH (50%),>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
